entity,soc
hibernate-core/src/matrix/java/org/hibernate/test/inheritancediscriminator/PersistChildEntitiesWithDiscriminatorTest.java,46
hibernate-core/src/main/java/org/hibernate/loader/internal/EntityJoinableAssociationImpl.java,46
hibernate-core/src/main/java/org/hibernate/internal/FilterConfiguration.java,46
hibernate-core/src/main/java/org/hibernate/cache/spi/entry/StructuredMapCacheEntry.java,46
hibernate-envers/src/matrix/java/org/hibernate/envers/test/integration/strategy/ValidityAuditStrategyRevEndTsTest.java,45
hibernate-envers/src/main/java/org/hibernate/envers/entities/mapper/relation/ToOneIdMapper.java,45
hibernate-core/src/test/java/org/hibernate/test/propertyref/DoesNotWorkWithHbmTest.java,45
hibernate-core/src/test/java/org/hibernate/test/propertyref/DoesNotWorkTest.java,45
hibernate-core/src/matrix/java/org/hibernate/test/annotations/naturalid/NaturalIdOnSingleManyToOneTest.java,45
hibernate-core/src/main/java/org/hibernate/mapping/UniqueKey.java,45
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/EntityFetchOwnerDelegate.java,45
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/CompositeFetchOwnerDelegate.java,45
hibernate-core/src/main/java/org/hibernate/loader/internal/ResultSetProcessingContextImpl.java,45
hibernate-core/src/main/java/org/hibernate/internal/util/xml/XMLHelper.java,45
hibernate-core/src/main/java/org/hibernate/internal/util/collections/CollectionHelper.java,45
hibernate-core/src/main/java/org/hibernate/internal/NamedQueryRepository.java,45
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/exec/BasicExecutor.java,45
hibernate-core/src/main/java/org/hibernate/engine/jdbc/BlobProxy.java,45
hibernate-core/src/main/java/org/hibernate/engine/internal/NonNullableTransientDependencies.java,45
hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiArchiveDescriptor.java,44
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/tm/JBossStandaloneJtaExampleTest.java,44
hibernate-core/src/test/resources/log4j.properties,44
hibernate-core/src/main/java/org/hibernate/service/StandardServiceInitiators.java,44
hibernate-core/src/main/java/org/hibernate/event/spi/ResolveNaturalIdEvent.java,44
